1;arms_factory;849.00;10.75;1531.00;0.71;0
1;arms_factory;887.00;10.53;1556.00;4.83;0
1;arms_factory;836.00;10.78;1555.00;0.11;0
1;arms_factory;851.00;10.63;1523.00;2.78;0
1;arms_factory;869.00;10.32;1550.00;5.44;0
1;arms_factory;790.00;10.30;1612.00;2.17;0
1;industrial_complex;821.00;10.78;1538.00;3.38;0
1;industrial_complex;863.00;10.30;1558.00;1.22;0
1;industrial_complex;800.00;10.40;1606.00;5.34;0
1;industrial_complex;811.00;10.35;1531.00;5.45;0
1;industrial_complex;813.00;10.10;1582.00;3.29;0
1;industrial_complex;894.00;10.60;1561.00;5.95;0
1;air_base;894.00;10.82;1525.00;2.33;0
1;naval_base;890.00;9.50;1584.00;-2.55;18409
1;naval_base;831.00;10.23;1585.00;-2.92;18906
1;naval_base;785.00;9.50;1616.00;-2.27;18738
1;naval_base;793.00;9.80;1555.00;-2.11;17832
1;naval_base;883.00;10.32;1582.00;-3.06;18409
1;naval_base;791.00;10.10;1537.00;-2.74;17832
1;naval_base;857.00;10.10;1577.00;-2.98;18409
1;naval_base;793.00;9.85;1552.00;-1.57;17832
1;naval_base;816.00;10.10;1593.00;-3.66;18906
1;naval_base;791.00;9.82;1592.00;-1.57;17832
1;naval_base;845.00;10.15;1582.00;-2.98;18906
1;naval_base;815.00;10.10;1594.00;-4.25;18906
1;naval_base;850.00;10.13;1581.00;-2.82;18906
1;naval_base;794.00;9.50;1582.00;-1.37;17832
1;naval_base;794.00;9.50;1570.00;-1.97;17832
1;bunker;894.00;10.80;1526.00;6.12;0
1;bunker;832.00;10.70;1536.00;3.96;0
1;bunker;906.00;10.60;1538.00;1.80;0
1;bunker;876.00;10.30;1558.00;4.46;0
1;bunker;926.00;10.50;1566.00;6.03;0
1;bunker;894.00;10.60;1504.00;2.41;0
1;bunker;825.00;10.10;1585.00;0.25;0
1;bunker;794.00;10.38;1604.00;1.45;0
1;bunker;808.00;10.10;1578.00;4.47;0
1;bunker;892.00;10.70;1543.00;0.85;0
1;bunker;841.00;10.68;1558.00;3.52;0
1;bunker;855.00;10.88;1526.00;5.08;0
1;bunker;853.00;10.78;1533.00;2.92;0
1;bunker;797.00;10.20;1588.00;5.58;0
1;bunker;802.00;10.30;1540.00;1.96;0
1;bunker;875.00;10.45;1552.00;4.98;0
1;bunker;840.00;10.50;1522.00;6.19;0
1;bunker;851.00;10.20;1578.00;4.03;0
1;bunker;834.00;10.63;1547.00;0.41;0
1;bunker;827.00;10.63;1561.00;1.97;0
1;bunker;798.00;10.23;1592.00;4.63;0
1;bunker;850.00;10.40;1546.00;2.47;0
1;bunker;918.00;10.60;1540.00;5.14;0
1;bunker;885.00;10.78;1544.00;0.41;0
1;bunker;873.00;10.43;1569.00;4.54;0
1;bunker;849.00;10.30;1571.00;0.92;0
1;bunker;802.00;10.30;1559.00;2.48;0
1;bunker;812.00;10.30;1568.00;5.14;0
1;bunker;801.00;10.25;1532.00;2.98;0
1;bunker;868.00;10.75;1525.00;4.19;0
1;bunker;877.00;10.63;1533.00;0.92;0
1;bunker;855.00;10.30;1560.00;3.59;0
1;bunker;903.00;10.53;1558.00;6.25;0
1;bunker;818.00;10.40;1533.00;2.64;0
1;bunker;808.00;10.48;1530.00;5.65;0
1;bunker;932.00;10.38;1560.00;2.04;0
1;bunker;846.00;10.30;1569.00;4.70;0
1;bunker;841.00;10.30;1571.00;2.54;0
1;bunker;890.00;10.53;1565.00;4.10;0
1;bunker;864.00;10.55;1510.00;0.48;0
1;bunker;929.00;10.55;1551.00;3.15;0
1;bunker;915.00;10.38;1576.00;6.16;0
1;bunker;909.00;10.82;1506.00;1.09;0
1;bunker;791.00;10.28;1594.00;5.21;0
1;bunker;921.00;10.13;1570.00;1.59;0
1;bunker;922.00;10.35;1548.00;3.15;0
1;bunker;868.00;10.53;1513.00;0.99;0
1;bunker;907.00;10.15;1585.00;3.66;0
1;bunker;922.00;10.20;1575.00;0.04;0
1;coastal_bunker;805.00;9.93;1612.00;-2.27;0
1;coastal_bunker;792.00;10.10;1537.00;-2.74;0
1;coastal_bunker;856.00;10.13;1578.00;-3.61;0
1;coastal_bunker;813.00;10.13;1601.00;-4.25;0
1;coastal_bunker;793.00;9.50;1585.00;-1.37;0
1;coastal_bunker;793.00;9.85;1552.00;-1.57;0
1;coastal_bunker;880.00;10.40;1581.00;-3.06;0
1;coastal_bunker;793.00;9.80;1555.00;-2.11;0
1;coastal_bunker;866.00;10.10;1576.00;-2.98;0
1;coastal_bunker;794.00;9.50;1567.00;-1.97;0
1;coastal_bunker;834.00;10.20;1584.00;-2.92;0
