1;2217.00;9.50;966.00;big
1;2286.00;10.63;826.00;big
2;3027.00;9.50;224.00;big
2;3206.00;9.50;78.00;big
3;2429.00;9.50;1166.00;big
3;2482.00;9.50;1338.00;big
4;2709.00;9.50;1442.00;big
4;2890.00;9.50;1342.00;big
5;1108.00;10.48;1653.00;big
5;1162.00;10.10;1797.00;big
6;1816.00;9.50;938.00;big
6;1618.00;9.50;1141.00;big
7;2288.00;11.50;578.00;big
7;2727.00;9.50;645.00;big
8;1560.00;9.50;493.00;big
8;1883.00;9.50;497.00;big
9;1311.00;12.53;909.00;big
9;1591.00;12.85;700.00;big
10;697.00;9.50;665.00;big
10;1027.00;9.50;830.00;big
11;1732.00;10.10;2609.00;big
11;1758.00;9.50;2320.00;big
12;182.00;9.50;591.00;big
12;47.00;9.50;461.00;big
13;778.00;9.50;1625.00;big
13;1040.00;9.50;1807.00;big
14;154.00;9.50;1186.00;big
14;149.00;9.50;809.00;big
15;579.00;9.50;1466.00;big
15;555.00;9.50;1260.00;big
16;315.00;9.50;1724.00;big
16;426.00;9.50;2246.00;big
17;533.00;10.73;1906.00;big
17;608.00;10.28;1993.00;big
18;895.00;10.30;1785.00;big
18;770.00;10.10;1721.00;big
19;785.00;11.00;2217.00;big
19;775.00;11.00;2094.00;big
20;813.00;10.43;1508.00;big
20;821.00;10.20;1368.00;big
21;1149.00;11.07;1458.00;big
21;997.00;10.40;1519.00;big
22;1091.00;10.75;1230.00;big
22;872.00;10.50;1210.00;big
23;1339.00;9.50;2162.00;big
23;1394.00;9.50;1986.00;big
24;1736.00;9.50;2024.00;big
24;1594.00;9.50;1976.00;big
25;1213.00;9.50;1965.00;big
25;1199.00;9.50;2164.00;big
26;1458.00;9.50;2869.00;big
26;1163.00;9.50;2404.00;big
27;977.00;9.50;2056.00;big
27;943.00;9.50;2348.00;big
28;523.00;12.30;2866.00;big
28;394.00;12.07;2893.00;big
29;1922.00;10.30;2083.00;big
29;1952.00;10.30;2256.00;big
30;1512.00;10.55;2123.00;big
30;1559.00;10.15;2277.00;big
31;1638.00;11.80;2824.00;big
31;1538.00;10.98;2524.00;big
32;1285.00;13.60;2328.00;big
32;1349.00;12.63;2528.00;big
33;1604.00;12.65;3020.00;big
33;1464.00;12.03;2774.00;big
34;2089.00;10.60;2734.00;big
34;1910.00;10.45;2563.00;big
35;1865.00;10.60;2929.00;big
35;2101.00;10.50;2998.00;big
36;356.00;10.82;866.00;big
36;537.00;11.10;774.00;big
37;1542.00;13.80;1366.00;big
37;1295.00;11.40;1297.00;big
38;1511.00;13.32;1045.00;big
38;1409.00;11.13;1150.00;big
39;2020.00;11.93;904.00;big
39;2117.00;10.30;773.00;big
40;1924.00;11.05;1191.00;big
40;1936.00;13.73;1049.00;big
41;2238.00;10.57;1429.00;big
41;2183.00;12.05;1156.00;big
42;2008.00;12.03;1420.00;big
42;1807.00;10.30;1381.00;big
43;1383.00;11.40;1489.00;big
43;1323.00;10.93;1615.00;big
44;1289.00;10.32;1765.00;big
44;1347.00;10.20;1995.00;big
45;1774.00;11.75;1544.00;big
45;1571.00;11.05;1591.00;big
46;1515.00;10.20;1805.00;big
46;1638.00;10.53;1692.00;big
47;1835.00;10.73;1677.00;big
47;1772.00;10.50;1858.00;big
48;1996.00;10.50;1917.00;big
48;2006.00;10.80;1692.00;big
49;2550.00;13.78;955.00;big
49;3025.00;13.55;1125.00;big
50;2123.00;10.30;2300.00;big
50;2309.00;10.80;2270.00;big
51;438.00;11.73;527.00;big
51;194.00;11.45;429.00;big
52;2301.00;10.60;1705.00;big
52;2572.00;10.30;1646.00;big
53;2193.00;10.60;1955.00;big
53;2342.00;10.80;2046.00;big
54;274.00;9.50;2775.00;big
54;952.00;9.50;2800.00;big
55;3354.00;10.85;1404.00;big
55;3093.00;13.05;1446.00;big
56;2860.00;10.30;1657.00;big
56;3145.00;10.10;1680.00;big
57;3633.00;9.50;1487.00;big
57;3352.00;9.50;1726.00;big
58;2603.00;10.70;1968.00;big
58;2652.00;10.55;2190.00;big
59;3270.00;10.10;2040.00;big
59;2956.00;10.28;1985.00;big
60;3775.00;10.30;2157.00;big
60;3753.00;10.57;1765.00;big
61;2842.00;11.88;193.00;big
61;2496.00;10.10;189.00;big
62;1225.00;12.53;461.00;big
62;2046.00;10.30;244.00;big
63;3864.00;11.90;370.00;big
63;3305.00;12.60;331.00;big
64;3458.00;10.30;815.00;big
64;3046.00;12.40;642.00;big
65;3903.00;15.63;895.00;big
65;3687.00;16.68;1238.00;big
66;2464.00;10.30;2861.00;big
66;2490.00;10.50;2498.00;big
67;698.00;12.25;869.00;big
67;778.00;11.28;1028.00;big
68;401.00;12.38;1114.00;big
68;543.00;12.40;1041.00;big
69;3181.00;10.63;2378.00;big
69;2897.00;10.55;2597.00;big
70;3419.00;10.53;2807.00;big
70;3829.00;11.00;2764.00;big
71;2289.00;9.50;3020.00;big
71;2170.00;9.50;2872.00;big
72;450.00;12.10;217.00;big
72;1471.00;11.80;129.00;big
73;723.00;10.45;1802.00;big
73;826.00;11.45;1947.00;big
74;4038.00;9.50;670.00;big
74;3888.00;9.50;739.00;big
75;0.00;9.50;391.00;big
75;0.00;9.50;2178.00;big
76;1727.00;13.38;832.00;big
76;1645.00;12.18;940.00;big
77;1668.00;11.07;1239.00;big
77;1770.00;14.00;1169.00;big
